motif	expression
mm9.MSGN1_MOUSE.H11MO.0.C	0
mm9.PROP1_MOUSE.H11MO.0.C	0
mm9.SRY_MOUSE.H11MO.0.B	0
mm9.FOXI1_MOUSE.H11MO.0.B	0
mm9.PTF1A_MOUSE.H11MO.0.A	0
mm9.HXA9_MOUSE.H11MO.0.B	0
mm9.CRX_MOUSE.H11MO.0.A	0
mm9.FLI1_MOUSE.H11MO.0.A	0
mm9.STF1_MOUSE.H11MO.0.B	0
mm9.PAX5_MOUSE.H11MO.0.A	0
mm9.HNF4G_MOUSE.H11MO.0.C	0.005
mm9.EHF_MOUSE.H11MO.0.B	0.005
mm9.P63_MOUSE.H11MO.0.B	0.005
mm9.ESR1_MOUSE.H11MO.0.A	0.01
mm9.NDF2_MOUSE.H11MO.0.A	0.01
mm9.RUNX2_MOUSE.H11MO.0.A	0.01
mm9.HXC9_MOUSE.H11MO.0.A	0.015
mm9.NKX61_MOUSE.H11MO.0.A	0.015
mm9.COT2_MOUSE.H11MO.0.A	0.015
mm9.MYF6_MOUSE.H11MO.0.C	0.02
mm9.IRF4_MOUSE.H11MO.0.A	0.02
mm9.HXA13_MOUSE.H11MO.0.C	0.02
mm9.PITX1_MOUSE.H11MO.0.C	0.02
mm9.HXB8_MOUSE.H11MO.0.C	0.02
mm9.FOXL2_MOUSE.H11MO.0.C	0.02
mm9.FOXP2_MOUSE.H11MO.0.A	0.02
mm9.NKX21_MOUSE.H11MO.0.A	0.02
mm9.IRF2_MOUSE.H11MO.0.B	0.02
mm9.ELF5_MOUSE.H11MO.0.A	0.025
mm9.MEF2C_MOUSE.H11MO.0.A	0.025
mm9.FOXC1_MOUSE.H11MO.0.C	0.025
mm9.MAF_MOUSE.H11MO.0.A	0.025
mm9.NR2E3_MOUSE.H11MO.0.C	0.03
mm9.PIT1_MOUSE.H11MO.0.C	0.03
mm9.GFI1_MOUSE.H11MO.0.C	0.03
mm9.COT1_MOUSE.H11MO.0.B	0.03
mm9.NKX32_MOUSE.H11MO.0.B	0.035
mm9.NR1I3_MOUSE.H11MO.0.C	0.035
mm9.AP2B_MOUSE.H11MO.0.B	0.035
mm9.ERR3_MOUSE.H11MO.0.C	0.035
mm9.NGN2_MOUSE.H11MO.0.C	0.035
mm9.PPARG_MOUSE.H11MO.0.A	0.04
mm9.HXB4_MOUSE.H11MO.0.A	0.045
mm9.NR1I2_MOUSE.H11MO.0.C	0.045
mm9.RFX6_MOUSE.H11MO.0.C	0.05
mm9.FEV_MOUSE.H11MO.0.B	0.05
mm9.ASCL1_MOUSE.H11MO.0.A	0.055
mm9.PO3F2_MOUSE.H11MO.0.A	0.055
mm9.OLIG2_MOUSE.H11MO.0.A	0.06
mm9.NOBOX_MOUSE.H11MO.0.C	0.065
mm9.NFIA_MOUSE.H11MO.0.C	0.065
mm9.HNF1B_MOUSE.H11MO.0.A	0.07
mm9.IRF7_MOUSE.H11MO.0.C	0.075
mm9.HXA10_MOUSE.H11MO.0.C	0.08
mm9.EGR2_MOUSE.H11MO.0.A	0.08
mm9.PPARA_MOUSE.H11MO.0.A	0.085
mm9.NKX22_MOUSE.H11MO.0.A	0.085
mm9.ERG_MOUSE.H11MO.0.A	0.085
mm9.NKX25_MOUSE.H11MO.0.A	0.085
mm9.IKZF1_MOUSE.H11MO.0.C	0.085
mm9.GFI1B_MOUSE.H11MO.0.A	0.095
mm9.SP7_MOUSE.H11MO.0.A	0.095
mm9.FOSL1_MOUSE.H11MO.0.A	0.095
mm9.SIX2_MOUSE.H11MO.0.A	0.095
mm9.GATA3_MOUSE.H11MO.0.A	0.095
mm9.HEN1_MOUSE.H11MO.0.C	0.095
mm9.MYOG_MOUSE.H11MO.0.A	0.1
mm9.RORG_MOUSE.H11MO.0.B	0.1
mm9.HAND1_MOUSE.H11MO.0.C	0.105
mm9.NFAC1_MOUSE.H11MO.0.A	0.105
mm9.LHX3_MOUSE.H11MO.0.C	0.11
mm9.VSX2_MOUSE.H11MO.0.C	0.115
mm9.SOX9_MOUSE.H11MO.0.A	0.115
mm9.ZIC1_MOUSE.H11MO.0.B	0.115
mm9.VDR_MOUSE.H11MO.0.A	0.12
mm9.PDX1_MOUSE.H11MO.0.B	0.12
mm9.FOXQ1_MOUSE.H11MO.0.C	0.125
