WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
Bm1	Bm_v4_Chr4_scaffold_001	9938949	9940484	1	WBGene00220262
Bm2	Bm_v4_ChrX_scaffold_001	20303960	20330570	1	WBGene00220263
Bm4	Bm_v4_Chr4_scaffold_001	12494766	12496309	-1	WBGene00220265
Bm8	Bm_v4_ChrX_scaffold_001	8282553	8283134	-1	WBGene00220269
Bm13	Bm_v4_ChrX_scaffold_001	8012603	8013219	1	WBGene00220274
Bm14	Bm_v4_Chr4_scaffold_001	9892232	9922439	-1	WBGene00220275
Bm15	Bm_v4_Chr2_contig_001	1248881	1249932	-1	WBGene00220276
Bm16	Bm_v4_Chr3_scaffold_001	11120383	11121201	1	WBGene00220277
Bm17	Bm_v4_Chr2_contig_001	69590	69992	-1	WBGene00220278
Bm19	Bm_v4_Chr1_scaffold_001	2198109	2201640	-1	WBGene00220280
Bm20	Bm_v4_ChrX_scaffold_001	13883797	13885821	-1	WBGene00220281
Bm23	Bm_029	12788	13071	-1	WBGene00220284
Bm27	Bm_029	14080	14381	-1	WBGene00220288
Bm28	Bm_029	14485	14616	1	WBGene00220289
Bm33	Bm_029	28078	28415	1	WBGene00220294
Bm41	Bm_v4_Chr1_scaffold_001	2708449	2709276	-1	WBGene00220302
Bm42	Bm_v4_Chr1_scaffold_001	2564540	2564928	1	WBGene00220303
Bm45	Bm_v4_Chr4_scaffold_001	2055282	2059979	1	WBGene00220306
Bm47	Bm_v4_Chr3_scaffold_001	2282242	2282940	-1	WBGene00220308
Bm48	Bm_007	640939	642587	1	WBGene00220309
Bm49	Bm_v4_ChrX_scaffold_001	11710196	11711328	-1	WBGene00220310
Bm55	Bm_007	862107	862825	-1	WBGene00220316
Bm56	Bm_v4_Chr2_contig_001	3777381	3783697	1	WBGene00220317
Bm59	Bm_v4_Chr3_scaffold_001	2148670	2156235	1	WBGene00220320
Bm60	Bm_023	38714	39668	1	WBGene00220321
Bm67	Bm_049	9556	13425	1	WBGene00220328
Bm74	Bm_v4_ChrX_scaffold_001	1782826	1787053	1	WBGene00220335
Bm76	Bm_v4_ChrX_scaffold_001	22394615	22395585	-1	WBGene00220337
Bm80	Bm_v4_ChrX_scaffold_001	11070525	11071870	-1	WBGene00220341
Bm85	Bm_v4_ChrX_scaffold_001	14547728	14549780	1	WBGene00220346
Bm87	Bm_v4_ChrX_scaffold_001	22235378	22235804	-1	WBGene00220348
Bm91	Bm_v4_ChrX_scaffold_001	20890031	20892202	-1	WBGene00220352
Bm94	Bm_v4_Chr2_contig_001	9698172	9699275	1	WBGene00220355
Bm95	Bm_007	27134	27854	-1	WBGene00220356
Bm97	Bm_v4_Chr2_contig_001	13651838	13653661	-1	WBGene00220358
Bm98	Bm_v4_Chr4_scaffold_001	9642852	9643798	1	WBGene00220359
Bm99	Bm_v4_Chr3_scaffold_001	10872070	10875153	-1	WBGene00220360
Bm107	Bm_v4_Chr2_contig_001	14169835	14170209	1	WBGene00220368
Bm115	Bm_029	26334	27208	-1	WBGene00220376
Bm119	Bm_v4_Chr4_scaffold_001	2128644	2131320	-1	WBGene00220380
Bm126	Bm_013	64717	66353	1	WBGene00220387
Bm128	Bm_017	20847	23377	-1	WBGene00220389
Bm129	Bm_v4_ChrX_scaffold_001	13601527	13618270	-1	WBGene00220390
Bm130	Bm_v4_ChrX_scaffold_001	24042638	24045935	-1	WBGene00220391
Bm135	Bm_v4_Chr1_scaffold_001	1783652	1787216	1	WBGene00220396
Bm137	Bm_v4_Chr2_contig_001	13728718	13732209	1	WBGene00220398
Bm145	Bm_v4_Chr1_scaffold_001	14193081	14195701	-1	WBGene00220406
Bm146	Bm_v4_Chr2_contig_001	12869256	12871094	1	WBGene00220407
Bm148	Bm_v4_Chr2_contig_001	13421468	13425270	1	WBGene00220409
Bm150	Bm_v4_Chr1_scaffold_001	3950112	3951264	-1	WBGene00220411
Bm155	Bm_v4_Chr4_scaffold_001	2144331	2146019	-1	WBGene00220416
Bm157	Bm_v4_ChrX_scaffold_001	24081948	24082067	-1	WBGene00220418
Bm160	Bm_v4_Chr1_scaffold_001	4959604	4959780	-1	WBGene00220421
Bm161	Bm_v4_ChrX_scaffold_001	22548106	22549364	-1	WBGene00220422
Bm163	Bm_v4_Chr2_contig_001	13292360	13293638	-1	WBGene00220424
Bm164	Bm_v4_ChrX_scaffold_001	10242777	10242980	-1	WBGene00220425
Bm172	Bm_v4_Chr3_scaffold_001	3983138	3990167	-1	WBGene00220433
Bm173	Bm_v4_Chr3_scaffold_001	3974053	3974689	1	WBGene00220434
Bm177	Bm_v4_ChrX_scaffold_001	10635736	10636218	1	WBGene00220438
Bm178	Bm_v4_ChrX_scaffold_001	10636243	10636589	1	WBGene00220439
Bm180	Bm_v4_Chr3_scaffold_001	13518407	13518517	1	WBGene00220441
